#ID                             RA                DEC
UVUDF_1516               53.1589212 -27.81030549
UVUDF_1518               53.1722641 -27.80969453
UVUDF_1520               53.1673810 -27.81029432
UVUDF_1521               53.1855734 -27.81024745
UVUDF_1522               53.1492235 -27.81028009
UVUDF_1524               53.1741722 -27.81024862
UVUDF_1527               53.1847216 -27.80999103
UVUDF_1528               53.1544850 -27.81024426
UVUDF_1531               53.1456257 -27.81011635
UVUDF_1532               53.1666200 -27.81014110
UVUDF_1533               53.1594908 -27.81019821
UVUDF_1536               53.1615022 -27.81016911
UVUDF_1538               53.1793775 -27.81008026
UVUDF_1539               53.1791954 -27.81006139
UVUDF_1540               53.1777070 -27.81012826
UVUDF_1543               53.1713077 -27.81008688
UVUDF_1544               53.1850457 -27.81001195
UVUDF_1546               53.1795615 -27.81005090
UVUDF_1547               53.1614285 -27.81006842
UVUDF_1549               53.1541677 -27.81005295
UVUDF_1551               53.1690514 -27.81004696
UVUDF_1552               53.1797483 -27.81000343
UVUDF_1553               53.1632494 -27.81000205
UVUDF_1557               53.1488845 -27.80988543
UVUDF_1558               53.1519738 -27.80988774
UVUDF_1560               53.1688421 -27.80994026
UVUDF_1561               53.1734483 -27.80989553
UVUDF_1564               53.1861836 -27.80987144
UVUDF_1565               53.1847108 -27.80989388
UVUDF_1568               53.1854554 -27.80983926
UVUDF_1572               53.1833713 -27.80984457
UVUDF_1574               53.1744861 -27.80985254
UVUDF_1577               53.1540279 -27.80981784
UVUDF_1579               53.1663855 -27.80978093
UVUDF_1582               53.1500463 -27.80943101
UVUDF_1583               53.1802777 -27.80971672
UVUDF_1585               53.1486011 -27.80966055
UVUDF_1588               53.1800022 -27.80965441
UVUDF_1590               53.1658913 -27.80967308
UVUDF_1591               53.1668201 -27.80966531
