# NGC 3603, centered at RA=168.78120, DEC=-61.261175
# ID           RA             DEC
     737   168.7827291    -61.274855
     738   168.8081470    -61.267625
     739   168.7762583    -61.267119
     740   168.7553672    -61.264158
     741   168.7968228    -61.278427
     742   168.7828797    -61.250208
     743   168.7648961    -61.259260
     744   168.8154409    -61.262476
     745   168.8153872    -61.268478
     746   168.7332189    -61.248895
     747   168.7772640    -61.261537
     748   168.7377201    -61.262077
     749   168.7539266    -61.277463
     750   168.7841587    -61.278306
     751   168.7362750    -61.259423
     752   168.7849868    -61.272116
     753   168.7936998    -61.251267
     754   168.7665774    -61.245142
     755   168.7928940    -61.269562
     756   168.7888644    -61.265847
     757   168.7431768    -61.268062
     758   168.7841026    -61.276876
     759   168.7870836    -61.245681
     760   168.7695359    -61.257337
     761   168.8014019    -61.248026
     762   168.7280137    -61.261665
     763   168.8084324    -61.269150
     764   168.8145699    -61.258975
     765   168.7561277    -61.246167
     766   168.7329457    -61.251654
     767   168.7454977    -61.251051
     768   168.7811683    -61.274155
     769   168.7627268    -61.270364
     770   168.7501024    -61.263620
     771   168.7656844    -61.256747
     772   168.7631879    -61.268688
     773   168.7924644    -61.279843
     774   168.7496014    -61.263163
     775   168.7732194    -61.235404
     776   168.7868057    -61.258545
     777   168.7772841    -61.263662
     778   168.7306546    -61.265176
     779   168.8062891    -61.272150
     780   168.7774295    -61.260239
     781   168.7492921    -61.255342
     782   168.7688676    -61.259146
     783   168.7898135    -61.261177
     784   168.7288469    -61.256489
     785   168.7772015    -61.261309
     786   168.7837801    -61.259363
     787   168.7732405    -61.245237
     788   168.7507189    -61.255346
     789   168.7786493    -61.258435
     790   168.7691576    -61.279748
     791   168.7820659    -61.240859
     792   168.7952490    -61.259078
     793   168.8162737    -61.251744
     794   168.7829564    -61.240861
     795   168.7931946    -61.243216
     796   168.7809129    -61.261776
     797   168.8233981    -61.268320
     798   168.7781005    -61.256458
     799   168.7794041    -61.259119
     800   168.8241051    -61.267593
     801   168.8085661    -61.265065
     802   168.7975097    -61.279913
     803   168.7776451    -61.260040
     804   168.7720360    -61.258483
     805   168.8022054    -61.257323
     806   168.7812423    -61.265628
     807   168.7357857    -61.257449
     808   168.7830514    -61.266188
     809   168.7772309    -61.261486
     810   168.8039016    -61.259456
     811   168.8101928    -61.262227
     812   168.7989913    -61.241794
     813   168.7257869    -61.263968
     814   168.8060389    -61.250332
     815   168.7689046    -61.279944
     816   168.7136969    -61.258695
     817   168.8184418    -61.252217
     818   168.7755327    -61.265009
     819   168.7718067    -61.281577
     820   168.7744679    -61.248304
     821   168.7760816    -61.246984
     822   168.7397288    -61.266617
     823   168.7465614    -61.257629
     824   168.7623798    -61.270989
     825   168.7565308    -61.270355
     826   168.7935110    -61.264162
     827   168.7963295    -61.254090
     828   168.8020170    -61.248216
     829   168.7824427    -61.246867
     830   168.8114984    -61.264686
     831   168.7456170    -61.274461
     832   168.7691870    -61.263306
     833   168.7808522    -61.262310
     834   168.7738186    -61.257549
     835   168.7612198    -61.244195
     836   168.7806994    -61.259977
     837   168.7809497    -61.275610
     838   168.8217564    -61.261011
     839   168.7801882    -61.260885
     840   168.7617873    -61.256810
     841   168.7770522    -61.258817
     842   168.7680351    -61.263381
     843   168.7663504    -61.282152
     844   168.7821155    -61.263830
     845   168.7789109    -61.275093
     846   168.7681476    -61.279776
