# This target list is based on HST GLASS observations of M1149
# My program makes use of up to 4 MSA configurations. Thus,
# I expect to be able to observe up to 200 targets. A list of 817 
# targets is needed to make sure enough targets are available and
# optimally placed for any orientation. 
#
# The targets were selected on the basis of the following criteria:
# continuum observations: zphot > 2, 22 < m160 < 25.5
# emission lines : zphot > 3, m160> 25
#
# I plan to include at APT submission a filler list if necessary
# to make sure that no slitlets are left behind
#
# the columns are a target id, RA in HMS, Dec in DMS, photo-z, mag in F160W and mag error
#
#         id         RAh         RAm         RAs        DECd        DECm        DECs       zphot         mag        emag
#
         748          11          49       38.41          22          24       33.74       5.451       28.39      0.1656
         749          11          49       40.12          22          24       33.63       4.657       27.56      0.1078
         768          11          49       31.07          22          24       30.16       4.679        27.3     0.09982
         772          11          49       40.02          22          24       32.05       3.041       24.79    0.008747
         773          11          49       32.84          22          24       33.19       12.41       28.44      0.1662
         775          11          49       33.63          22          24       32.64        4.34       28.29      0.1303
         780          11          49       32.69          22          24       30.61         2.9       25.37     0.01403
         782          11          49       32.54          22          24       30.39       3.507       28.58     0.08368
         785          11          49       35.94          22          24       31.37        2.77       24.24     0.00528
         787          11          49       32.17          22          24       31.86       4.756       27.55     0.07547
         788          11          49       33.35          22          24       31.49       3.904       27.21     0.02661
         789          11          49       37.58          22          24       31.91       3.145       27.75      0.0831
         795          11          49        40.5          22          24       31.79       4.162       28.53      0.1787
         796          11          49       37.56          22          24        31.4       4.793       27.22     0.05947
         802          11          49       33.21          22          24       34.16       3.731       26.82     0.03731
         803          11          49       33.63          22          24       31.11       3.282        27.7     0.07536
         804          11          49       37.83          22          24        30.9       4.029       28.58      0.1692
         805          11          49       38.46          22          24       30.85       3.524       27.95      0.1038
         809          11          49        31.8          22          24       30.51       3.243       27.45     0.06076
         810          11          49       36.82          22          24       30.18       3.167       25.09     0.01043
         815          11          49       35.31          22          24       30.33        4.06       28.16      0.1148
         824          11          49       35.71          22          24       23.22       3.048       27.62     0.06901
         829          11          49       35.72          22          24       29.35       4.436       26.72     0.04712
         832          11          49       35.61          22          24       29.34       4.142       25.86     0.04044
         835          11          49       36.28          22          24       25.86        3.13       23.01    0.002964
