#ID                             RA                DEC
HST3D_20956              189.2052730  62.24553800
HST3D_20993              189.2007440  62.24543600
HST3D_21043              189.1238860  62.24589800
HST3D_21057              189.1359230  62.24595400
HST3D_21060              189.1257840  62.24593100
HST3D_21145              189.1281360  62.24628000
HST3D_21315              189.0970250  62.24697900
HST3D_21367              189.2587750  62.24756100
HST3D_21370              189.0904390  62.24752500
HST3D_21447              189.2425550  62.24802200
HST3D_21462              189.2227190  62.24810600
HST3D_21529              189.1292780  62.24840600
HST3D_21573              189.2653520  62.24848100
HST3D_21574              189.2487140  62.24845100
HST3D_21590              189.1240910  62.24867400
HST3D_21636              189.0962350  62.24891600
HST3D_21657              189.2635590  62.24915900
HST3D_21687              189.1163810  62.24910100
HST3D_21711              189.2421780  62.24945500
HST3D_21723              189.2495410  62.24952100
HST3D_21740              189.2273170  62.24955600
HST3D_21745              189.2372830  62.24960400
HST3D_21760              189.1543320  62.24966800
HST3D_21790              189.1996850  62.24980500
HST3D_21816              189.2294560  62.24992700
HST3D_21817              189.2138340  62.24986200
HST3D_21834              189.2702280  62.25001600
HST3D_21849              189.2629810  62.25011500
HST3D_21884              189.2797980  62.25025000
HST3D_21925              189.2159060  62.25031700
HST3D_21935              189.1639420  62.25044900
HST3D_21968              189.1062690  62.25054800
HST3D_21972              189.0780620  62.25053800
HST3D_21992              189.2407400  62.25073400
HST3D_22003              189.1168470  62.25074400
HST3D_22007              189.2661050  62.25080700
HST3D_22018              189.2624070  62.25086300
HST3D_22089              189.1932520  62.25111800
HST3D_22126              189.2396900  62.25124100
HST3D_22138              189.2190620  62.25130400
HST3D_22159              189.1470020  62.25128300
HST3D_22214              189.2705880  62.25157600
HST3D_22226              189.2274490  62.25146000
HST3D_22237              189.2254770  62.25176500
