#ID                             RA                DEC
HST3D_1377               53.1033280 -27.92349700
HST3D_1464               53.1227200 -27.92207300
HST3D_1469               53.1261390 -27.92199000
HST3D_1482               53.1290240 -27.92178700
HST3D_1520               53.1546080 -27.92123300
HST3D_1536               53.1465470 -27.92101400
HST3D_1608               53.1608070 -27.91994700
HST3D_1654               53.1419850 -27.91932100
HST3D_1674               53.1560250 -27.91895900
HST3D_1687               53.1121180 -27.91897400
HST3D_1777               53.1275710 -27.91783300
HST3D_1822               53.0915140 -27.91728700
HST3D_1846               53.1381760 -27.91671800
HST3D_1969               53.1456040 -27.91554500
HST3D_1995               53.0836740 -27.91532600
HST3D_2021               53.1513750 -27.91500300
HST3D_2022               53.1160300 -27.91503700
HST3D_2046               53.1138440 -27.91471800
HST3D_2056               53.1481150 -27.91447100
HST3D_2100               53.0923140 -27.91401700
HST3D_2131               53.1309230 -27.91370500
HST3D_2216               53.0896800 -27.91241500
HST3D_2217               53.0897520 -27.91250400
HST3D_2243               53.1559540 -27.91225000
HST3D_2246               53.0874190 -27.91222900
HST3D_2304               53.0867060 -27.91135700
HST3D_2369               53.1275900 -27.91054000
HST3D_2395               53.1606400 -27.91029900
HST3D_2525               53.1405100 -27.90906900
HST3D_2549               53.1263330 -27.90886000
HST3D_2564               53.1470310 -27.90865500
HST3D_2642               53.1343430 -27.90794600
HST3D_2653               53.1675360 -27.90769000
HST3D_2769               53.0833330 -27.90662100
HST3D_2790               53.1682860 -27.90646400
HST3D_2793               53.1452660 -27.90642300
HST3D_2825               53.1724100 -27.90612200
HST3D_2844               53.1458140 -27.90599200
HST3D_2852               53.1440260 -27.90596300
HST3D_2862               53.1283020 -27.90590200
HST3D_2879               53.1032600 -27.90572600
HST3D_2955               53.1590520 -27.90499800
HST3D_3069               53.1323280 -27.90392500
HST3D_3135               53.1384490 -27.90344900
HST3D_3249               53.1217430 -27.90230900
HST3D_3254               53.1726580 -27.90249100
HST3D_3403               53.1679550 -27.90125200
HST3D_3429               53.1689980 -27.90096700
HST3D_3483               53.1212600 -27.90049400
HST3D_3490               53.0852030 -27.90031300
HST3D_3523               53.1456160 -27.90013700
HST3D_3545               53.1305720 -27.89997300
HST3D_3568               53.0848420 -27.89981400
HST3D_3611               53.1645860 -27.89929900
HST3D_3652               53.0812590 -27.89874400
HST3D_3676               53.0817070 -27.89879300
HST3D_3701               53.1561340 -27.89858200
HST3D_3708               53.0859000 -27.89855900
HST3D_3812               53.1493340 -27.89746700
HST3D_3914               53.1679120 -27.89692800
HST3D_3987               53.1433320 -27.89625500
HST3D_4083               53.1573850 -27.89554000
HST3D_4091               53.1724480 -27.89546200
HST3D_4142               53.1216610 -27.89495900
HST3D_4188               53.1614590 -27.89463100
HST3D_4261               53.1360820 -27.89378100
HST3D_4371               53.1415610 -27.89308400
HST3D_4482               53.1290580 -27.89246400
HST3D_4569               53.1719570 -27.89169600
HST3D_4572               53.1212500 -27.89118400
HST3D_4590               53.1510010 -27.89142700
HST3D_4591               53.1207720 -27.89166900
HST3D_4606               53.1207270 -27.89152500
HST3D_4678               53.1500340 -27.89101300
HST3D_4689               53.1517520 -27.89077300
HST3D_4740               53.1512930 -27.89039800
HST3D_4768               53.1542670 -27.89019600
HST3D_4832               53.0944220 -27.88977200
HST3D_4841               53.1120480 -27.88967000
HST3D_4855               53.1185270 -27.88964100
HST3D_4857               53.1485790 -27.88962600
HST3D_4872               53.1642950 -27.88944000
HST3D_4888               53.1534630 -27.88931900
HST3D_4895               53.1707430 -27.88912500
HST3D_4898               53.0891860 -27.88924800
HST3D_4964               53.1161210 -27.88890300
HST3D_4974               53.1419320 -27.88886800
HST3D_5021               53.1557050 -27.88853000
HST3D_5053               53.1629080 -27.88831800
HST3D_5111               53.1136760 -27.88795900
HST3D_5241               53.0930570 -27.88700100
HST3D_5255               53.0942350 -27.88687500
HST3D_5256               53.1540010 -27.88686900
HST3D_5310               53.1734510 -27.88641700
HST3D_5314               53.1101490 -27.88643800
HST3D_5323               53.1081590 -27.88638800
HST3D_5399               53.1100400 -27.88566700
HST3D_5406               53.1526060 -27.88582000
HST3D_5490               53.1083450 -27.88515500
HST3D_5534               53.1339550 -27.88478300
HST3D_5577               53.1346610 -27.88446400
HST3D_5642               53.0967350 -27.88403100
HST3D_5701               53.1238390 -27.88354000
HST3D_5769               53.1514810 -27.88316400
HST3D_5795               53.1014730 -27.88326200
HST3D_5803               53.1614150 -27.88303000
HST3D_5834               53.1709270 -27.88261400
HST3D_5839               53.1472360 -27.88256200
HST3D_5880               53.1226170 -27.88228000
HST3D_5931               53.1287830 -27.88194500
HST3D_5975               53.1442790 -27.88170200
HST3D_6003               53.1475120 -27.88153500
HST3D_6040               53.1467540 -27.88131400
HST3D_6061               53.1464300 -27.88112400
HST3D_6126               53.1644460 -27.88069200
HST3D_6140               53.1612860 -27.88061000
HST3D_6262               53.0647430 -27.87987400
HST3D_6267               53.1647740 -27.87983400
HST3D_6280               53.1610090 -27.87993800
HST3D_6362               53.1478470 -27.87927800
HST3D_6403               53.1387840 -27.87903900
HST3D_6417               53.0786190 -27.87902400
HST3D_6467               53.0739730 -27.87870800
HST3D_6605               53.1544440 -27.87803800
HST3D_6664               53.0808560 -27.87767500
HST3D_6727               53.0802960 -27.87728300
HST3D_6807               53.0791770 -27.87689600
HST3D_6903               53.0802790 -27.87638600
HST3D_6950               53.1211690 -27.87618000
HST3D_6985               53.1461140 -27.87627900
HST3D_7037               53.1442870 -27.87574200
HST3D_7070               53.1497520 -27.87559100
HST3D_7100               53.1595120 -27.87539500
HST3D_7165               53.1663000 -27.87595000
HST3D_7284               53.1536220 -27.87445000
HST3D_7307               53.0699720 -27.87474600
HST3D_7309               53.0682090 -27.87431400
HST3D_7385               53.0848310 -27.87397100
HST3D_7491               53.1305930 -27.87393200
HST3D_7516               53.0743310 -27.87364000
HST3D_7576               53.1512540 -27.87330700
HST3D_7605               53.0751270 -27.87302400
HST3D_7616               53.0787850 -27.87297400
HST3D_7618               53.0906290 -27.87298300
HST3D_7630               53.1415390 -27.87301000
HST3D_7632               53.0757030 -27.87288800
HST3D_7744               53.1581310 -27.87245000
HST3D_7755               53.0784530 -27.87317800
HST3D_7781               53.0899090 -27.87259500
HST3D_7789               53.0886580 -27.87215700
HST3D_7801               53.1618750 -27.87287400
HST3D_7837               53.0587410 -27.87192900
HST3D_7918               53.1654560 -27.87169900
HST3D_8034               53.1666430 -27.87094000
HST3D_8058               53.1447720 -27.87153100
HST3D_8204               53.1654540 -27.87012000
HST3D_8326               53.1637420 -27.86942500
HST3D_8371               53.1071820 -27.86924500
HST3D_8424               53.0830590 -27.86901800
HST3D_8505               53.0848960 -27.86871600
HST3D_8553               53.0705400 -27.86856100
HST3D_8561               53.0781150 -27.86846700
HST3D_8588               53.0629200 -27.86836000
HST3D_8594               53.0825820 -27.86833000
HST3D_8672               53.0766630 -27.86796200
HST3D_8687               53.1536890 -27.86789600
HST3D_8875               53.0644890 -27.86717200
HST3D_8922               53.0564940 -27.86696600
HST3D_8926               53.1473490 -27.86698600
HST3D_8954               53.1528860 -27.86686100
HST3D_8977               53.0769310 -27.86679500
HST3D_9084               53.0767600 -27.86637400
HST3D_9161               53.0952630 -27.86670300
HST3D_9180               53.0566090 -27.86596500
HST3D_9470               53.0793040 -27.86477300
HST3D_9472               53.1619420 -27.86477600
HST3D_9669               53.0574500 -27.86392200
HST3D_9689               53.0767510 -27.86405200
HST3D_9733               53.0717570 -27.86356800
HST3D_9764               53.0936190 -27.86343800
HST3D_9830               53.0698730 -27.86315100
HST3D_9868               53.0781740 -27.86299200
